tweet_text,retweet_count,favorite_count,followers_count,original_tweet_screen_name,retweet_screen_name,original_tweet_created_at,retweet_created_at,retweet_id,original_tweet_id,original_tweet_coordinates,retweet_coordinates,original_tweet_user_id,retweet_user_id,search_string,is_retweet,timestamp,type,source,in_reply_to_status_id,in_reply_to_screen_name,in_reply_to_user_id,quoted_id,quoted_screen_name,quoted_user_id,quoted_created_at,quoted_coordinates,place_name,place_fullname,place_country,place_cc,place_bb,media_url,media_expanded_url,lang,id,virality,affectiveIndex,group,topic
"RT @cmiguate: ¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,CZardetto,cmiguate,2019-05-23 15:24:40,2019-05-23 15:07:18,1.1315773494707446e+18,1131581720074117125,,,556554879,579651036.0,,True,1558635880,retweet,Twitter for Android,,,,,,,,,,,,,,,,es,1131581720074117125,18.46435686444348,0,group,0
"RT @cmiguate: ¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,TatoJulito,cmiguate,2019-05-23 15:23:26,2019-05-23 15:07:18,1.1315773494707446e+18,1131581409007722496,,,908721737797394432,579651036.0,,True,1558635806,retweet,Twitter for Android,,,,,,,,,,,,,,,,es,1131581409007722496,18.46435686444348,0,group,0
"RT @juanjose531958: Guatemala tendrá que esperar 4 años más para intentar cambiar y mejorar su rumbo y futuro.  A 24 días de las elecciones, NO se por quien votar, pero no dejare de votar.  Mi voto será en CONTRA del PEOR y NO a favor del MEJOR.  Creo no ser el único en esta lamentable situación.",165,850,4485,JavierG84128473,juanjose531958,2019-05-23 15:22:35,2019-05-23 15:04:50,1.1315767278876549e+18,1131581194188017664,,,800204947186851840,414348575.0,,True,1558635755,retweet,Twitter for iPhone,,,,,,,,,,,,,,,,es,1131581194188017664,36.978818283166106,0,group,0
Hoy van los magistrados del TSE hacia EEUU para que les indiquen quien ganará las elecciones en Guatemala #Estadodebil #Republicabananera #Estadofallido,0,0,15,CitizenFour91,,2019-05-23 15:22:16,,,1131581116572422145,,,1039776625422999554,,,False,1558635736,Tweet,Twitter Web App,,,,,,,,,,,,,,,,es,1131581116572422145,0.0,0,group,0
"RT @cmiguate: ¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,vidalportales,cmiguate,2019-05-23 15:20:26,2019-05-23 15:07:18,1.1315773494707446e+18,1131580655807225856,,,87552596,579651036.0,,True,1558635626,retweet,Twitter Web Client,,,,,,,,,,,,,,,,es,1131580655807225856,18.46435686444348,0,group,0
"RT @cmiguate: ¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,pedro_pan1,cmiguate,2019-05-23 15:19:49,2019-05-23 15:07:18,1.1315773494707446e+18,1131580499892346880,,,3167000831,579651036.0,,True,1558635589,retweet,Twitter for Android,,,,,,,,,,,,,,,,es,1131580499892346880,18.46435686444348,0,group,0
"RT @cmiguate: ¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,honysu,cmiguate,2019-05-23 15:19:42,2019-05-23 15:07:18,1.1315773494707446e+18,1131580468825067521,,,14536798,579651036.0,,True,1558635582,retweet,Twitter for Android,,,,,,,,,,,,,,,,es,1131580468825067521,18.46435686444348,0,group,0
"RT @cmiguate: ¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,eumaple,cmiguate,2019-05-23 15:19:39,2019-05-23 15:07:18,1.1315773494707446e+18,1131580458414813185,,,98935721,579651036.0,,True,1558635579,retweet,Twitter for Android,,,,,,,,,,,,,,,,es,1131580458414813185,18.46435686444348,0,group,0
"RT @cmiguate: ¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,AdaValenzuelaVN,cmiguate,2019-05-23 15:19:28,2019-05-23 15:07:18,1.1315773494707446e+18,1131580411044335617,,,849976086,579651036.0,,True,1558635568,retweet,Twitter for Android,,,,,,,,,,,,,,,,es,1131580411044335617,18.46435686444348,0,group,0
"RT @cmiguate: ¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,burbujista,cmiguate,2019-05-23 15:19:01,2019-05-23 15:07:18,1.1315773494707446e+18,1131580298146340864,,,69443548,579651036.0,,True,1558635541,retweet,Twitter for iPhone,,,,,,,,,,,,,,,,es,1131580298146340864,18.46435686444348,0,group,0
"RT @cmiguate: ¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,jc_chi_tzan,cmiguate,2019-05-23 15:18:06,2019-05-23 15:07:18,1.1315773494707446e+18,1131580066247335936,,,162802630,579651036.0,,True,1558635486,retweet,Twitter for iPhone,,,,,,,,,,,,,,,,es,1131580066247335936,18.46435686444348,0,group,0
"RT @cmiguate: ¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,Mamonqueen1,cmiguate,2019-05-23 15:17:34,2019-05-23 15:07:18,1.1315773494707446e+18,1131579931568345089,,,1107321819927900160,579651036.0,,True,1558635454,retweet,Twitter Web Client,,,,,,,,,,,,,,,,es,1131579931568345089,18.46435686444348,0,group,0
"RT @cmiguate: ¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,Guatemaloso,cmiguate,2019-05-23 15:17:29,2019-05-23 15:07:18,1.1315773494707446e+18,1131579912287072256,,,71137143,579651036.0,,True,1558635449,retweet,Twitter for Android,,,,,,,,,,,,,,,,es,1131579912287072256,18.46435686444348,0,group,0
"RT @cmiguate: ¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,vimacid,cmiguate,2019-05-23 15:16:13,2019-05-23 15:07:18,1.1315773494707446e+18,1131579593146507264,,,1705987746,579651036.0,,True,1558635373,retweet,Twitter for Android,,,,,,,,,,,,,,,,es,1131579593146507264,18.46435686444348,0,group,0
